2024-01-27 17:16:52 INFO  cic.cs.unb.ca.ifm.Cmd    Please select pcap!
2024-01-27 17:17:05 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-01-27 19:14:16 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\captured_packets (1).pcap
2024-01-27 19:14:16 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\captured_packets (1).pcap
2024-01-27 19:23:45 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\captured_packets1.pcap
2024-01-27 19:23:46 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 19:23:47 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\captured_packets1.pcap
2024-01-27 19:23:47 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\captured_packets1.pcap
2024-01-27 19:30:12 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input C:\Users\mahal\Downloads\captured_packets.pcap
2024-01-27 19:30:14 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output C:\Users\mahal\Downloads
2024-01-27 19:30:14 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... C:\Users\mahal\Downloads\captured_packets.pcap
2024-01-27 19:30:14 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on C:\Users\mahal\Downloads\captured_packets.pcap
